INFORMACIÓN PRÁCTICA;CULTURA LOCAL E HISTORIA;PAISAJE Y RECURSOS NATURALES;ARQUITECTURAYPATRIMONIO;TRANSPORTES E INFRAESTRUCTURAS;GASTRONOMÍA;ALOJAMIENTO;ATRACCIONES CULTURALES Y ACTIVIDADES;ATRACCIONES DE TIEMPO LIBRE Y ACTIVIDADES;EVENTOS, FERIAS Y FESTIVALES;VIDA NOCTURNA;SHOPPING;DEPORTES;SALUD Y BIENESTAR;SERVICIOS Y ESPACIOS PÚBLICOS;PLATAFORMAS GENÉRICAS;PLATAFORMAS ESPECÍFICAS;EDAD DEL VIAJERO;TIPO DE VAIJE;TIPO DE BÚSQUEDA;
Movilidadeneldestino;Historia;Naturaleza;Edificios singulares;Avión;Comida y bebida tradicional;Albergue;Galerías de arte;Zoológico;Festivales de música;Visitas guiadas nocturnas;Información sobre tiendas;Infraestructuras ;Spas;Wifi;Redes sociales ;Buscadores de vuelos;Niños ;Turismo familiar;Informacional;
Accesibilidadeneldestino;Tradicionesculturales;Vistasgenerales;lugaresdeculto;Aeropuerto;Restaurantes;Apartamento;Centro de exposiciones;Casino;Conciertos de “celebrities”;Discotecas;Zonas de tiendas;Deportes al aire libre;Masajes;Visitas guiadas;Plataformas de mensajería;Buscadores de alojamiento;Adolescentes;Turismo educativo;Informacional simple;
Agenda;;Parquesyjardines;Estatuasymonumentos;Barco;Cafeterías;Cabaña;Teatro;Parques temáticos;Espectáculos de arte destacados ;Pubs;Servicios de shopping;Deportes acuáticos ;Baños termales;Oficinas y puntos de información turística;Plataformas de video-sharing;Buscadores de actividades;Jóvenes;Turismo LGTB;Transaccional;
Consejosdeviaje;;Zonasverdes;Plazas;Puerto;Sidrería;Camping;Cine;Espectáculos de fuentes;Festivales de cine;Clubs;Información sobre Tax Free e impuestos;Deportes de riesgo;Balnearios;Bibliotecas;Plataformas de photo-sharing ;;Adultos;Turismo gastronómico;Navegacional ;
Ranquin;;ríos;Plazamayor;Autobuses;Mesón;Casas de labranza;Tauromaquia;Piscina;Exposiciones singulares y/o excepcionales;Salas de conciertos;Diseñadores locales;Eventos deportivos y ferias ;Sauna;Organismos públicos ;Blogs ;;Adultos mayores;Enoturismo;;
Itinerario;;Playas;Ruinas;Estación de autobús;Taberna;Hostal;Museos;Parque acuático;Eventos religiosos;;Tiendas de recuerdos;;;;Plataformas de recomendación;;;Turismo de negocios;;
Zonas;;Mar;Torres;Metro;Bodega;Hotel;Patios;Acuario;Fiestas locales ;;;;;;;;;Turismo de aventura;;
Planificador;;Montana;Alcázar;Estación de metro;Bar de tapas;Hotel-apartamento;Agenda cultural;Planetario;;;;;;;;;;Turismo rural;;
Materialdelaoficinadeturismo;;Nieve;Acueducto;Tren;Heladería;Palacio;Conciertos;Teleférico;;;;;;;;;;Turismo de salud;;
Seguridad;;Rutas;Faros;Estación de tren;Pastelería;Casona;Musicales;;;;;;;;;;;Turismo religioso;;
Clima;;;Universidades;Tranvía;Asador; Pensión;Danza;;;;;;;;;;;Turismo de naturaleza;;
Moneda,divisaycambiodedinero;;;Centrohistórico;Estación de tranvía;Pizzería;Posada;Casa museo;;;;;;;;;;;Turismo de descanso;;
;;;;Taxi;Cervecería;Vivienda rural;;;;;;;;;;;;Turismo de jubilados;;
;;;;Parada de taxi;Marisquería;Refugio de montaña;;;;;;;;;;;;Ecoturismo;;
;;;;Alquiler bicicleta;Brasería;Casa de aldea;;;;;;;;;;;;Turismo organizado;;
;;;;Alquiler coche;;Parador;;;;;;;;;;;;;;
;;;;Abono turístico;;Caravana;;;;;;;;;;;;;;
